attribute,layer,same_t2_branching_score,different_t2_branching_score,difference_in_differences,same_t2_pair_count,different_t2_pair_count,t1_top1_token_nmi,t2_top1_token_nmi
birth_city,0,0.1276333333334283,0.6075499999998724,0.47991666666644406,40000,40000,0.45756894079496735,0.5581297699026094
birth_city,1,0.06603333333334993,0.8071250000000283,0.7410916666666784,40000,40000,0.4943774293444202,0.6054373346686687
birth_city,2,0.004949999999990906,0.29054166666646103,0.2855916666664701,40000,40000,0.5091980012287206,0.22070598453202186
birth_city,3,-0.08447499999988384,0.13824166666665783,0.22271666666654166,40000,40000,0.04146699226194905,0.24579178442521032
birth_city,4,-0.10115000000001212,0.034716666666712914,0.13586666666672503,40000,40000,0.12880636067205778,0.13234061126220426
birth_city,5,-0.04235000000000777,0.05672500000006642,0.09907500000007419,40000,40000,0.057792022854394436,0.13012180777730595
birth_city,6,-0.2140000000000261,-0.1720416666667855,0.041958333333240616,40000,40000,0.024903697558044034,0.03071212245933959
birth_city,7,-0.06701666666672046,0.04376666666669837,0.11078333333341883,40000,40000,0.10606786642941471,0.10423664579874879
birth_city,8,-0.20329166666648196,-0.16236666666650706,0.0409249999999749,40000,40000,0.05637905554772384,0.024426618281508692
birth_city,9,-0.10809166666651449,-0.03368333333328427,0.07440833333323021,40000,40000,0.029495992559046662,0.07310650480982295
birth_city,10,-0.13857500000003908,-0.0428500000000408,0.09572499999999828,40000,40000,0.02792909444528266,0.06986181262470917
birth_city,11,-0.014724999999985833,0.05344166666654926,0.06816666666653509,40000,40000,0.004402840811291337,0.07117893050563352
university,0,0.15941666666680965,0.7088583333333157,0.5494416666665061,40000,40000,0.45915742806881504,0.5626143540905365
university,1,0.12986666666675228,0.749625000000023,0.6197583333332707,40000,40000,0.49366206927064665,0.4973505728840855
university,2,0.025299999999985667,0.23797499999981764,0.21267499999983197,40000,40000,0.5075296187992808,0.22584316706083185
university,3,-0.11629999999985147,0.18941666666668733,0.3057166666665388,40000,40000,0.043498884186653854,0.3535178546053884
university,4,-0.10041666666666837,0.057033333333393665,0.15745000000006204,40000,40000,0.1333805104299949,0.16213527925020482
university,5,-0.040666666666684614,0.07379166666673992,0.11445833333342453,40000,40000,0.05727372378141798,0.12685911149095783
university,6,-0.21488333333335574,-0.1258416666668109,0.08904166666654484,40000,40000,0.025649233073288605,0.08081443097270091
university,7,-0.09342499999998893,0.059775000000057144,0.15320000000004608,40000,40000,0.10481622053531515,0.13957208906380078
university,8,-0.20792499999980013,-0.11353333333326487,0.09439166666653526,40000,40000,0.05625822302570501,0.06735998948924472
university,9,-0.09471666666655182,-0.018583333333332286,0.07613333333321953,40000,40000,0.02791514781092826,0.08996552947090918
university,10,-0.12701666666673034,-0.059208333333386376,0.06780833333334396,40000,40000,0.02749942783815322,0.053201396621371015
university,11,-0.02144999999995978,0.05939166666655005,0.08084166666650983,40000,40000,0.00460205814659152,0.0655218340744965
major,0,0.014649999999962304,0.5225666666665016,0.5079166666665393,40000,30000,0.2785552467384915,0.6514057711959809
major,1,-0.028949999999971054,0.6169999999999634,0.6459499999999344,40000,30000,0.3603539507623515,0.5033481979379524
major,2,-0.04091666666670024,0.3515666666664814,0.39248333333318164,40000,30000,0.3073091519956732,0.5453122612274944
major,3,0.04474166666662127,0.3162333333333557,0.2714916666667344,40000,30000,0.2546606236927661,0.6337676604374134
major,4,0.09307499999981156,0.22808888888908685,0.1350138888892753,40000,30000,0.21610802049320427,0.3066637433442153
major,5,-0.023733333333273376,0.04405555555559887,0.06778888888887225,40000,30000,0.10653339677329664,0.18542878570871812
major,6,0.03399166666663156,0.09835555555566211,0.06436388888903055,40000,30000,0.04914618380279467,0.11040446039864688
major,7,0.000991666666661506,0.23404444444456762,0.23305277777790612,40000,30000,0.18945935639054098,0.3484118554733997
major,8,0.012291666666661705,0.001533333333350706,-0.010758333333310999,40000,30000,0.14240014656966107,0.16697800628238707
major,9,-0.009766666666611634,0.023988888888947235,0.03375555555555887,40000,30000,0.06754423003414427,0.1323359375505555
major,10,0.049358333333190174,0.08532222222233132,0.03596388888914115,40000,30000,0.11739208365502465,0.29341839884510434
major,11,0.23587499999981898,0.424122222222137,0.18824722222231804,40000,30000,0.22217368765208195,0.2718267886511854
company,0,-0.001133333333375175,0.5333148148147019,0.5344481481480771,40000,36000,0.5130502671585276,0.4632809094450849
company,1,-0.04391666666675065,0.5641111111110084,0.6080277777777591,40000,36000,0.5511776711868008,0.577274262152
company,2,-0.06634166666666641,0.1431111111108554,0.2094527777775218,40000,36000,0.36927929403815507,0.2900398996500366
company,3,-0.10573333333328128,0.1849351851851595,0.2906685185184408,40000,36000,0.18787555775069353,0.31824804418642916
company,4,-0.12499166666646327,0.05745370370376823,0.1824453703702315,40000,36000,0.09643556662721342,0.17093694761303738
company,5,-0.13564166666657657,-0.003972222222232424,0.13166944444434414,40000,36000,0.0857839848855133,0.17710659655010863
company,6,-0.1762166666666785,-0.1040648148149328,0.07215185185174572,40000,36000,0.11803169573348722,0.11802450827774136
company,7,-0.05612499999995013,0.13619444444441786,0.192319444444368,40000,36000,0.10958332675863525,0.22957863170150022
company,8,-0.212974999999771,-0.15962962962961263,0.05334537037015835,40000,36000,0.09670120396419593,0.15707647679126646
company,9,-0.05524999999992897,0.013833333333328979,0.06908333333325795,40000,36000,0.12430852076974208,0.18048925278094022
company,10,-0.05802499999997013,0.043037037036956216,0.10106203703692634,40000,36000,0.11575776109830056,0.15218492174577125
company,11,-0.05032499999991835,0.07275925925919813,0.12308425925911648,40000,36000,0.08801498491385419,0.18481175938248898
company_city,0,0.13905555555555904,0.6092583333331661,0.4702027777776071,42000,40000,0.43964424470775526,0.5309157978804919
company_city,1,0.08034920634922227,0.8064833333333644,0.7261341269841421,42000,40000,0.49231877296043286,0.5982242487173725
company_city,2,0.001761904761878097,0.2838916666663603,0.2821297619044822,42000,40000,0.5156980388634026,0.23061535793197993
company_city,3,-0.09523809523797144,0.13563333333331296,0.2308714285712844,42000,40000,0.04752614502258595,0.2698595513876292
company_city,4,-0.11799206349200086,0.03349166666669323,0.1514837301586941,42000,40000,0.11735756043792939,0.15110908847907564
company_city,5,-0.05100793650787572,0.06099166666673428,0.11199960317461,42000,40000,0.07932843024570366,0.16133276388671744
company_city,6,-0.2171746031745661,-0.16784166666680367,0.04933293650776244,42000,40000,0.02910887552514334,0.06732188828374641
company_city,7,-0.0741349206348379,0.047200000000037046,0.12133492063487494,42000,40000,0.12361999274260842,0.11917331547193652
company_city,8,-0.2068968253965528,-0.15551666666654346,0.05138015873000934,42000,40000,0.07338285721157276,0.06181839187642455
company_city,9,-0.10965079365069835,-0.027174999999961424,0.08247579365073693,42000,40000,0.056269936559602544,0.11034386045881392
company_city,10,-0.15152380952376732,-0.04141666666669863,0.11010714285706868,42000,40000,0.03899068620839862,0.11767335599909404
company_city,11,-0.03669841269837176,0.04846666666656385,0.08516507936493561,42000,40000,0.040001798045411104,0.0934518584829784
